family_id,product_family,has_variants,variant_count,commercial_codes_included,industry_level_1,category_level_2,application_level_3,required_lab_parameters,action_required
REQ-001,Pectin Functional Systems,Yes,12,#182 AGLUPECTIN HS-MR; #183 AGLUPECTIN HS-R-E440(I); #184 AGLUPECTIN HS-SB13Z; #302 Pectin 105C; #303 Pectin CE 514; #304 Pectin LM 101 AS; #305 Pectin LM 102 AS; #306 Pectin LM 104 AS; #307 Pectin LM 104 AS - FS; #308 Pectin LM 106 AS-YA; #309 Pectin LM104 AS (100); #310 Pectin Ultra,Bakery,Pastry Fillings,Bake-Stable Jams & Pie Fillings,Manufacturer Master TDS & Grade CoAs; Degree of Esterification (DE %); Degree of Amidation (DA %); Calcium Sensitivity Index for LM 101/102/104/106 and Rapid Set CE 514/Ultra; Gel Strength (USA-SAG / Bloom); Setting Temperature; Loss on drying (max 12%).,Request Manufacturer Master TDS & Batch CoAs covering all 12 listed grades
REQ-002,Annatto Natural Color,Yes,6,#185 Annatto 2.2 WS 1KG; #186 Annatto 4% WS 1kg; #187 Annatto Turmeric; #188 Annatto WS 2.2 % 5 KG; #189 Annatto WS 3.50 %; #190 Annatto WS 4 % 5 KG,Dairy,Cheese,Processed Cheese,"Manufacturer Master TDS & Grade CoAs; Active Pigment Content % (Bixin / Norbixin % for 2.2%, 3.5%, 4.0% WS grades); Absorbance / Color Value; Solubility profile (Water-Soluble WS vs Oil-Soluble OS); Heavy metals (Pb < 2ppm, As < 3ppm); Heat stability.",Request Manufacturer Master TDS & Batch CoAs covering all 6 listed grades
REQ-003,Ascorbic Acid China,No,1,#192 Ascorbic Acid China,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-004,Beet Root Color,No,1,#193 Beet root extract,Meat & Poultry,Processed Meat,Emulsified Sausages,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-005,Anthocyanin Natural Color,Yes,2,#194 Blackcurrant Anthocyanin; #195 Blackcurrant Anthocyanin 20 KG,Meat & Poultry,Processed Meat,Emulsified Sausages,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-006,Calcium Chloride-25kg,No,1,#196 Calcium Chloride-25kg,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Manufacturer Master TDS & Grade CoAs; Chemical Purity % (min 99.5%); Water content (Anhydrous vs Monohydrate); Heavy metals (Pb, As, Hg); Clarity and color of solution; Food grade certificate.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-007,Calcium Propionate,Yes,2,#197 Calcium Propionate China-25kg; #198 Calcium Propionate Macco-20kg,Bakery,Bread,Sliced Bread / Buns / Rolls,Manufacturer Master TDS & Grade CoAs; Active Assay % (min 99.0% dry basis); Physical form (Granular vs Powder vs Wuhan grade); Loss on drying (max 5%); Heavy metals (Pb < 2ppm); Water solubility; Food grade compliance certificate.,Request Manufacturer Master TDS & Batch CoAs covering all 2 listed grades
REQ-008,Caramel Color,Yes,8,#203 Caramel (E150D); #204 Caramel liquid Type E150A 30KG; #205 Caramel Liquid Type E150D; #206 Caramel Liquid Type E150D 30KG; #207 Caramel Powder (E150D); #208 Caramel powder Type E150A 20KG; #209 Caramel powder Type E150c 20KG; #210 Caramel powder Type E150d 20KG,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 8 listed grades
REQ-009,Carmine Natural Color,No,1,#212 Carmine WS 50 %,Meat & Poultry,Processed Meat,Emulsified Sausages,"Manufacturer Master TDS & Grade CoAs; Pigment Concentration % (5%, 10%, 14%, 20% WS/OS); Color intensity (E 1% 1cm); pH stability range; Light & oxidation stability; Heavy metals & residual solvent limits.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
REQ-010,Carrageenan CK/M Series,No,1,#213 CARRAGEENAN CK-500,Meat & Poultry,Processed Meat,Emulsified Sausages & Injected Poultry,"Official Manufacturer Technical Data Sheet (TDS); Certificate of Analysis (CoA); Active Chemical Purity / Assay %; Heavy Metals (Pb, As, Cd, Hg); Moisture %; pH (1% solution); Food Grade E-Number & Allergen Statement; Standard Industrial Dosage Range; Storage Limits & Shelf Life.",Request Manufacturer Master TDS & Batch CoAs covering all 1 listed grades
