id,material_name,product_family,priority,target_application,reason_for_request,needed_parameters
182,AGLUPECTIN HS-MR,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Low-Sugar Jams & Fruit Prep,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
183,AGLUPECTIN HS-R-E440(I),Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Bakery Jams & Fruit Spreads,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
184,AGLUPECTIN HS-SB13Z,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Low-Sugar Jams & Fruit Prep,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
185,Annatto 2.2 WS 1KG,Annatto Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
186,Annatto 4% WS 1kg,Annatto Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
187,Annatto Turmeric,Annatto Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
188,Annatto WS 2.2 % 5 KG,Annatto Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
189,Annatto WS 3.50 %,Annatto Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
190,Annatto WS 4 % 5 KG,Annatto Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
191,Antifoam,Antifoam Compounds,High (Commercial Variant),Savory - Seasoning,Sibling (ANTIFOAM COMPOUND) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
192,Ascorbic Acid China,Ascorbic Acid China,Urgent (No TDS in Family),Food Processing,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
193,Beet root extract,Beet Root Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
194,Blackcurrant Anthocyanin,Anthocyanin Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
