id,filename,application,type,company,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description,brand,audit,recommendation
1,GMS60 SPECIFICATION.PDF,Savory - Seasoning,Emulsifier,AWA Bio,,24 months,"min. 60% Total Monoglyceride, max. 1% Free Glycerol, max. 3 Acid Value, max. 2 Iodine Value, approx. 62 Melting point","Mono-and diglycerides of fatty acids (E-471), HPS, Glycerin, palm oil",25 Kg net bags,"Cool and dry, Away from sunlight, Recommended storage temperature below 25ºC",None declared,"Flakes or powder, White-ivory","Glycerol Monostearate (GMS) manufactured by Guangdong Cardlo Biotechnology Co.ltd., used in food industry, cosmetic, pharmacy.",AWA Bio,,
2,Ingreva Cellulose Casing.pdf,Savory - Seasoning,Cellulose Casing,AWA Food Additives,,24 months,65-67% regenerated cellulose; 18-20% moisture,"Cellulose, Glycerol, White mineral oil",Cartons with adhesive tape; plastic film wrap; four plastic belts,"Store between 4°C and 25°C, 50-70% RH; Keep away from direct sunlight; Cover unused casing in plastic",None declared (all 14 EU allergens absent),Shirred cellulose casing,"Cellulose Casing manufactured by Ingreva, used in sausage processing casings.",Ingreva,,
3,NRE 1000-TDS.pdf,Savory - Meat,Food-Grade Red Color with Erythrosine,AWA Food Additives,25-30g/100kg,24 months,Moisture (%): ≤ 8.00; As (mg/kg): ≤ 1.00; Pb (mg/kg): ≤ 1.00,E-127,Heavy duty bags or according to the customer’s requirements,"Should be stored away from aromatic products, In dry place away from direct sunlight",,Dark reddish brown powder,"Food-Grade Red Color with Erythrosine, used in meat products.",AWA Food Solutions,,
4,NRE 1500.pdf,Savory - Meat,Red Color,AWA Food Additives,25-30g/100kg,24 months,moisture: ≤8.00%; color intensity: 0.420: 0.500; arsenic: ≤ 1.00 mg/kg; lead: ≤ 1.00 mg/kg,Erythrosine E127; Caramel color E150c,Paper sacks with polyethylene liner,"Should be stored away from aromatic products, In dry place away from direct sunlight",None declared,Red reddish brown powder,"Red Color, used in meat products.",AWA Food Solutions,,
5,Powder Antifoam.pdf,Agrochemicals - Beverages,Silicone Antifoam Compound,AWA Food Additives,0.5 - 2.0%,12 months,Active content: 15%,,50kgs HDPE containers,Keep the original containers closed at a temperature of around 25°C. Seal the containers properly during intervals when not in use.,,White free flowing powder,"Silicone Antifoam Compound manufactured by OTCPL, used in industrial application, e.g. Dry flowable Agrichemicals, wettable Agrochemical powders, cement admixtures, patch and repair in concrete formulations.",AWA Food Solutions,,
6,Revastab - M205.pdf,Savory - Meat,Refined Carrageenan (E407),AWA Food Additives,0.3% - 0.8%,24 months from the date of production,"Particle Size (120 mesh): ≥90%; Viscosity: ≥5 mPa.s; Water Gel Strength: ≥1600; pH (1.5%, 25°C): 8.0-11.0; Loss on Drying: ≤12.0%; Ash: 15-40%",Carrageenan (E407),"Paper sacks with polyethylene liner, 25 kg",Stored with sealed package in a cool and dry place.,None declared (all 13 listed EU allergens absent),Yellowish to white flowing powder,"Refined Carrageenan (E407), used in meat products.",Ingreva,,
7,REVATEX -TS4.pdf,Savory - Meat,Modified Starch,AWA Food Solutions,,2 years from date of production,moisture: ≤12.0%; whiteness: ≥78.0%; pH: 4.0-9.0; ash: ≤0.5% (dry base); fineness: ≥85.0%; sulfur dioxide: ≤10mg/kg; protein: ≤0.5%; arsenic: ≤1.0mg/kg; lead: ≤0.2mg/kg,Tapioca Hydroxypropyl Distarch Phosphate,"Paper sacks, 25 kg.",Should be stored under cool and dry conditions (protect from humidity).,None declared,"White to slightly yellow, Granular, Flake or powder without visible foreign matter","Modified Starch manufactured by Ingreva, used in sausage/meat processing.",Ingreva,,
8,Soy flour TDS.pdf,Savory - Seasoning,Defatted Soya Flour,AWA Food Additives,,2 years from the date of manufacturing,"protein: 50.0 Min.; moisture: 10.0 Max; fat content: 2.0 Max.; total ash: 8.0 Max.; crude fiber: 5.0 Max; urease activity: 0.20 Max; total bacterial count: 20,000 Max.; coliform: 10 Max.; yeast and moulds: 100 Max.; e coli: Absent; salmonella: Absent",,25 KG,,,Fine powder,Defatted Soya Flour.,AWA Food Solutions,,
9,"specification of MCC gel (811F, HHF).pdf",Savory - Seasoning,Microcrystalline Cellulose Gel (Type: H811F),AWA Food Additives,,24 months,pH: 6.0-8.0; viscosity: 2000-5500 mPa.s; residue on ignition: 6.0 maximum; loss on drying: 8.0 maximum; total aerobic microbial count: 1000 maximum; total moulds and yeasts count: 100 maximum; salmonella: not detected in 25g,microcrystalline cellulose and carboxymethyl cellulose,"packedin compound paper bag and lined with PE bag inside, net weight 25kgs",At dry and cool place,,"White or pale yellowish powder, Odorless and tasteless","Microcrystalline Cellulose Gel (Type: H811F) manufactured by High Hope Foods (Nanjing) Co.,ltd.","HIGH HOPE FOODS (NANJING) CO.,LTD",,
10,TDS.CM-NANI-FG-03SIO2-E.PDF,Savory - Meat,Sodium Nitrite Food Grade,AWA Food Additives,,,NaNO2: 99.0 g/100 g; NaNO3: 0.4 g/100 g; Carbonate: 200 mg/kg; Chloride: 50 mg/kg; Sulphate: 50 mg/kg; H2O (loss on drying): 0.2 g/100 g; insoluble: 0.45 g/100 g; As: 0.2 mg/kg; Al: 2 mg/kg; Ca: 100 mg/kg; Cd: 1 mg/kg; Fe: 5 mg/kg; Hg: 0.05 mg/kg; K: 50 mg/kg; Pb: 1 mg/kg; Se: 5 mg/kg; SiO2 (anticaking agent E 551): 0.4 g/100 g,Sodium Nitrite (E 250) and SiO2 (E 551),,,,White to slightly yellow crystalline product,"Sodium Nitrite Food Grade manufactured by BASF SE, used in meat products.",AWA Food Solutions,,
11,TDS.Specif. PP 60 asta ST hot 20.000 shu-rev. 3.pdf,Savory - Seasoning,Paprika Powder,AWA Food Additives,,12 months,"Colour: 60 ASTA units min.; Capsaicin Content: 20,000 s.h.u min.; Moisture content: 12% max.; Total ash: 8,5 % max.",Capsicum annuum L and Capsicum frutescens L.,"Multilayered paper sacks or interwoven plastic sacks with blue polypropylene liner, 25 kg weight on shrinkwrapped pallets.","Cool, Dark and dry place",None declared,Fine red powder,Paprika Powder manufactured by Evesa.,AWA Food Solutions,,
12,Technical Data Sheet of Natural red color.pdf,Savory - Meat,Natural Red Color,AWA Food Additives,,2 years,Appearance: Red top purplish-red powder; Granularity: 90 % pass 150 mesh sifter; Moisture: ≤10%; ColorValue: 1000~4000u/g; HeavyMetal(Pb): ≤1ppm; As: ≤1ppm; Yeast: ≤25cfu/g; Mold: ≤25cfu/g; AflatoxinB: ≤5.0ppb; TotalPlate: ≤5000cfu/g; E.coli: ≤30cfu/g; PathogenicBacteria: Absence,100% Natural red color,"20 kgs/carton, 25 kgs/bag",Dry and sealed storage,,Red top purplish-red powder,"Natural Red Color manufactured by Wuhan Jiacheng Biotechnology Co., Ltd, used in meat Products, Ketchup, Sauce, etc.",AWA Food Solutions,,
13,Tex Mono 160-.pdf,Bakery & snacks - Cake & Pastry,Emulsifier,AWA Food Solutions,Based on product recipe,24 months from production date,Total Monoglyceride (%): Min 60; Acid Value (KOH/g): 3.00 max; Iodine Value (g/100g): 3.00 max; Melting Point (°C): 60 – 70; Free Glycerol (%): 1.00 max; Free Acids (%): 3.00 max,Mono & Diglycerides E-471,25 kg: S. Code: 80036; 5 kg: S. Code: N/A; 1 kg: S. Code: N/A,Stored in dry place away from direct sunlight,None declared,Creamy – white powder,"Emulsifier manufactured by AWA Foodsolutions, used in table margarine; bakery margarines and shortenings; ice cream and imitation creams; chewing gum; cheese products.",AWA Food Solutions,,
14,Textra Bake C 10 -TDS.PDF,Bakery & snacks - Cake & Pastry,Dough Improver,AWA Food Solutions,1 % of flour weight,9 months from date of Manufacturing,moisture content: Max.10 %; pH: 4.00- 6.00; total plate count: Max. 103 cfu/g; yeasts and molds: Max. 10² cfu/g; coliform: < 10 cfu/g; salmonella: Negative,"Wheat flour, Wheat Gluten, Acidity Regulators(E300,E330), Enzyme, Emulsifiers: (E471, E481), Anti-caking agent (E551)",Paper sacks with polyethylene liner 10 Kg and 25Kg,"Store in a cool, Dry location. Keep containers well closed when not in use.",Contains: Wheat gluten,"Free-flowing, Fine powder, Off-white","Dough Improver, used in croissant manufacture.",AWA Food Solutions,,
15,Textra Baking 100.pdf,Bakery & snacks - Cake & Pastry,Leavening Agent,AWA Food Solutions,18gm of Textra Baking 100 to 500gm flour,18 months from date of production,appearance: powder; color: White-Off white; moisture: Max. 13%; microbiological > total plate count: Max. 500 cfu/g; microbiological > yeast and mold: Max. 100 cfu/g; microbiological > coliform: < 10 cfu/g; microbiological > e.coli: Absent,Sodium acid pyrophosphate E450; Sodium Bicarbonate E500; Corn starch,Paper sacks with polyethylene liner,Store in a dry place away from heat and humidity,None declared,Powder,"Leavening Agent, used in bakery products like cakes, cookies and biscuits.",AWA Food Solutions,,
16,Textra Baking 150.pdf,Bakery & snacks - Cake & Pastry,Modified Starch,AWA Food Solutions,12 gm of Textra Baking 150 / 500 gm of flour,18 months,moisture: Max. 13%; water vol: Min 350 ml,Sodium acid pyrophosphate E450; Sodium Bicarbonate E500; Corn starch; Mono calcium phosphate E341,Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity,None declared,,"Modified Starch, used in cakes; Muffins; Biscuits; Donuts.",AWA Food Solutions,,
17,Textra CM 110-.pdf,Dairy - Ice Cream,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,0.65 - 0.9 % depending on the desired texture,24 months from production date,Loss on drying Max. 12%,CMC E-466; Guar Gum E-412; Emulsifier E-471,"25 kg Heavy duty bags, 5 kg Heavy duty bags, 1 kg Heavy duty bags","Should be stored away from aromatic products, Under conditions not exceeding 25 °C and 70% atmospheric humidity",None declared,Creamy to white powder,"Blend of Food Grade Stabilizers & Emulsifier manufactured by awa-foodsolutions.com, used in ice cream manufacturing.",AWA Food Solutions,,
18,TDS Starch.jpg,Savory - Seasoning,Corn Starch,AWA Food Additives,,,"Moisture 14% max, T.Protein 0.6% max, Ash 0.4% max, Fats 0.5% max",Corn Starch,"25 kg bags (also available in 750 kg, 850 kg, 1-ton bags)","Store in cool, Dry place below 20°C; RH below 60%; Keep on pallets away from chemicals and direct sunlight",None declared,Pure white,"Corn Starch manufactured by National Co. For Maize Products, used in food thickener.",AWA Food Solutions,,
19,Antifoam LPD.PDF,Processing Aids - Beverages,Antifoam,AWA Food Additives,5 to 25 ppm,12 months,"appearance: Yellowish, clear liquid; density: approx. 0.9 g/cm3; solubility: not miscible; viscosity: approx. 360 mPa•s; flash point: > 100 °C; freezing point: approx. -20 °C",Polyalkoxylates; Fatty acid esters,Plastic containers: 1 kg and 5 kg,Store in cool place away from direct sunlight,None declared,"Yellowish, Clear liquid","Antifoam, used in dairy products; Potato processing and starch industry.",AWA Food Solutions,,
23,Fell 120 R.PDF,Dairy - Cheese,Fell 120 R,AWA Food Solutions,2 – 5% according to the final product recipe,2 years from date of production,moisture content: Max 6%; ash: 3.7 : 4.5 %,Vegetable Protein; Filling Material (Carbohydrate),Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity,,Creamy to white powder,"Fell 120 R, used in white Cheese; Processed Cheese.",AWA Food Solutions,,
24,Fell 120 RX.PDF,Dairy - Cheese,Filler,AWA Food Solutions,2 – 5% according to the final product recipe,2 years from date of production,moisture: Max 6%,Vegetable Protein; Filling Material (Carbohydrates),Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Filler, used in cheese industry; White Cheese; Processed Cheese.",AWA Food Solutions,,
25,Feta 341.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,0.3 – 0.5% depending on protein amount,24 months from production date,pH: 6.5 – 7.5; loss on drying: Max. 15%,Carrageenan E-407; Guar Gum E-412; Emulsifiers E-471; Arabic gum E-414; Modified E-1422; Potato starch; Salt,"Heavy duty bags, 20 kg",Store in a dry place away from direct sunlight,None declared,Creamy to white powder,"Blend of Food Grade Stabilizers & Emulsifier, used in low protein feta cheese.",AWA Food Solutions,,
26,Feta 400 TDS.pdf,Dairy - Cheese,"Modified Starch, Emulsifier, Carrageenan",AWA Food Solutions,0.3– 0.5% depending on protein,24 months from production date,pH: 10:12; Lossondrying: Max. 8%; TotalPlateCount: Max. 5000 cfu/g; Yeastand Mold: Max 500 cfu/g; Coliform: <10 cfu/g; E.coli: Absent,Carrageenan E407; Guar Gum E412; Emulsifiers E471; Arabic gum E414; Modified Potato starch E1422; Salt,Papersacks with polyethylene liner 25kg,Store in a dry place away from direct sunlight,None declared,Creamy white powder,"Modified Starch, Emulsifier, Carrageenan, used in lowprotein Feta cheese.",AWA Food Solutions,,
27,Impro Meat.pdf,Savory - Meat,Unique Filler of Natural Ingredients,AWA Food Additives,3-8% for frozen meat,12 months,moisture: ≤10.0%; protein: Max. 20%; fiber: Min. 65%,Vegetable Origin Fibers,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,,"Unique Filler of Natural Ingredients, used in meat Products.",AWA Food Solutions,,
28,Ingreva RevaStab MC100 TDS.pdf,Savory - Seasoning,Raw Material,AWA Food Additives,,2 years,"particle size: >250μm(60 mesh) ≤3.0%; viscosity: 2000-5500 (2.6% solution, mPa.s); residue on ignition: 6.0 maximum (%); loss on drying: 8.0 maximum (%); pH value: 6.0-8.0 (2.6% solution)",Microcrystalline cellulose E460; Carboxymethyl cellulose E466,Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity.,None declared,"White or pale yellowish powder, Odorless and tasteless","Raw Material, used in food processing applications.",Ingreva,,
29,Ingreva RevaStab MCG TDS.pdf,Dairy - Cheese,Stabilizer System,AWA Food Additives,0.3 – 0.5%,2 years,pH: 7±1; viscosity: Min 100cPs at 25°C (1%); moisture content: Max 10%; ash: Max 5%,Carrageenan E407; Guar gum E412,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Stabilizer System, used in processed Cheese.",Ingreva,,
30,Ingreva RevaStab MCV.pdf,Savory - Meat,Modified Starch,AWA Food Additives,,3 years from date of production,moisture: 6% max; viscosity: 37500 - 70000 mPa.s; pH: 6.81,Methyl cellulose E461,"Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,None declared,,"Modified Starch, used in processed poultry products.",Ingreva,,
32,NRC 600.pdf,Savory - Meat,Natural Color Mix,AWA Food Additives,75 – 100 g per 100 kg of the product,2 years from date of production,moisture: ≤ 6.00%; color value: ≥ 150 E1 cm 1% (505 nm); solubility: Soluble in Water; arsenic: ≤ 1.00 mg/kg; lead: ≤ 1.00 mg/kg,"Hibiscus extract, Vegetable extract","Paper sacks with polyethylene liner, 5 Kg",Store in a dry place away from heat and humidity,None declared,Dark brown powder,"Natural Color Mix, used in meat products - tomato paste.",AWA Food Solutions,,
33,NRC500.pdf,Savory - Seasoning,Natural Color Mix,AWA Food Additives,,2 years from date of production,Moisture (%): ≤ 6.00; Solubility: Soluble in Water; As (mg/kg): ≤ 1.00; Pb (mg/kg): ≤ 1.00,"Red Beet Concentrate, Safflower","Paper sacks with polyethylene liner, 5 Kg",Store in a dry place away from heat and humidity,None declared,Dark brown powder,"Natural Color Mix, used in all food applications.",AWA Food Solutions,,
34,NRC600.pdf,Savory - Meat,Natural Color Mix,AWA Food Additives,,2 years from date of production,appearance: Dark Brown Powder; moisture: ≤ 6.00; solubility: Soluble in Water; heavy metals > As: ≤ 1.00 mg/kg; heavy metals > Pb: ≤ 1.00 mg/kg; microbiological > total plate count: Max. 5000 cfu/g; microbiological > total yeasts and molds count: Max. 25 cfu/g; microbiological > coliform: Max. 30 MPN/g,"Hibiscus extract, Vegetable extract","Paper sacks with polyethylene liner, 5 Kg",Store in a dry place away from heat and humidity,None declared,Dark brown powder,"Natural Color Mix, used in meat products, Tomato past.",AWA Food Solutions,,
35,NRE 1400H.pdf,Savory - Meat,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant",AWA Food Additives,25-30g/100kg,2 years,moisture: ≤ 8.00; color intensity: 0.490; arsenic: ≤ 1.00; lead: ≤ 1.00,Erythrosine: E127; Antioxidant: E392,"Paper sacks with polyethylene liner (25, 10, 5Kg)",Store in a dry place away from heat and humidity,,Reddish brown powder,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant, used in meat products.",AWA Food Solutions,,
36,NRE1400.pdf,Savory - Meat,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant",AWA Food Additives,25-30g/100kg,2 years,appearance: Reddish Brown powder; shade: Red to Pink; moisture(%): ≤8.00; colorintensityat505nm: 0.05gm/1000ml after 0.400:0.480 solution filtration; as(mg/kg): ≤ 1.00; pb(mg/kg): ≤ 1.00,erythrosine e number: E127,"Papersackswith polyethyleneliner25, 10 and 5Kg.",Store in a dry place away from heat and humidity,,Reddish brown powder,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant, used in meat products.",AWA Food Solutions,,
37,NRE1600.pdf,Savory - Meat,Food-Grade Red Color,AWA Food Additives,25-30g/100kg,2 years,Moisture (%): <=8.00; Color intensity at 505 nm: 0.430: 0.510; As (mg/kg): <= 1.00; Pb (mg/kg): <= 1.00,Erythrosine E127; Caramel color E150c,"Paper sacks with polyethylene liner (25, 10 and 5Kg)",Store in a dry place away from heat and humidity,None declared,Red reddish brown powder,"Food-Grade Red Color, used in meat products.",AWA Food Solutions,,
40,Phos 10_TDS.pdf,Savory - Meat,"Sodium Polyphosphates, Sodium Tripolyphosphate",AWA Food Additives,0.3 – 0.5%,2 years,Moisture: Max 3%; pH (1% solution): 8.5 : 10; P O: 56 : 58%; Arsenic: Max. 1 ppm; Lead: Max. 1 ppm; Mercury: Max. 1 ppm; Cadmium: Max. 1 ppm,"Sodium polyphosphates, E452, Sodium Tripolyphosphate, E451","Paper sacks with polyethylene liner, 25 Kg",Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Sodium Polyphosphates, Sodium Tripolyphosphate manufactured by Turkphos, used in meat Products, Meat Emulsions.",Turkphos,,
41,Phos 11_TDS.pdf,Bakery & snacks - Cake & Pastry,Phosphate Blend,AWA Food Additives,0.3 – 0.5%,2 years,Moisture: Max 3%; pH (1% solution): 9.1: 10.2; P O5: 25.6 : 59%,"Sodium diphosphates E450, Sodium Tripolyphosphate E451","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Phosphate Blend manufactured by Turkphos, used in food products.",Turkphos,,
42,Phos 8_TDS.PDF,Savory - Meat,Sodium Phosphates,AWA Food Additives,0.3 – 0.5%,2 years from date of production,"Moisture: Max 3%, pH(1%solution): 8.2, Heavy Metal Specifications: Arsenic: Max. 1 ppm, Lead: Max. 1 ppm, Mercury: Max. 1 ppm, Cadmium: Max. 1 ppm","Sodium polyphosphates E452, Sodium Tripolyphosphate E451, E450, Sodium diphosphate",Paper sacks with polyethylene liner 25 Kg,Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Sodium Phosphates manufactured by Turkphos, used in meat Products, Meat Emulsions.",Turkphos,,
43,Phos AC04-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt Based On Phosphate,AWA Food Additives,0.1 - 1% calculated on processed raw material,2 years from date of production,pH-shift: -1/-1.5; pH (1% solution): 4 : 4.6; P O: 63.3% ± 1; Moisture: Max 3%,Sodium Orthophosphate E339,Paper sacks with polyethylene liner 25 Kg,Cool and dry conditions (protect from humidity),None declared,White powder,"Emulsifying Salt Based On Phosphate, used in meat products, cheese, bakery.",Turkphos,,
